event_id,time,space,variable,speed,acc,duration
2710,7,2.086,Acceleration,26.59055,0.17509684,5
2710,9,0.763,Acceleration,2.0873697,0.37215674,2
2710,10,0.709,Acceleration,1.7712784,0.23932052,3
2710,10,0.845,Acceleration,1.9615567,0.31769666,2
2710,11,0.872,Acceleration,1.9574329,0.2661376,3
2710,12,0.875,Acceleration,0,0.35090676,3
2710,13,1.183,Acceleration,15.13489,0.4626792,7
2710,13,1.183,Acceleration,15.13489,0.4626792,7
2710,13,1.76,Acceleration,32.98611,0.38294876,19
2710,13,1.148,Acceleration,3.0208738,0.36745903,5
2710,15,1.277,Acceleration,13.506953,0.43542236,18
2710,16,1.54,Acceleration,25.989666,0.25704768,18
2710,17,1.557,Acceleration,26.281008,0.24531111,18
2710,18,2.298,Acceleration,32.054325,0.19247015,18
2710,30,0.025,Brake,10.363334,0.37865466,9
3110,29,1.577,Acceleration,34.83811,0.19729258,3
3110,29,2.035,Acceleration,34.83811,0.17835951,18
3710,4,2.282,Brake,28.804262,0.2685659,14
3710,4,2.198,Brake,30.413889,0.27278548,8
3710,5,2.617,Brake,26.043333,0.20598252,10
3710,5,2.815,Acceleration,26.363335,0.20170026,10
3710,10,2.377,Brake,25.313334,0.22229835,2
3710,11,1.975,Acceleration,27.604036,0.19592817,9
3710,15,0.129,Brake,40.517387,0.20176062,13
3710,16,1.975,Brake,20.50977,0.31523722,5
3710,16,1.976,Brake,21.50252,0.3443676,5
3710,25,2.145,Brake,28.525928,0.373913,14
3710,27,1.976,Brake,18.071327,0.50956035,9
3710,27,1.937,Brake,19.753334,0.4527094,6
3710,27,1.937,Brake,7.34,0.90788734,7
3710,27,2.022,Brake,3.4399998,0.32223037,7
3710,28,2.433,Acceleration,16.333334,0.25628862,18
3810,2,2.282,Brake,28.804262,0.2685659,14
3810,2,2.198,Brake,30.413889,0.27278548,8
3810,3,2.617,Brake,26.043333,0.20598252,10
3810,3,2.815,Acceleration,26.363335,0.20170026,10
3810,8,2.377,Brake,25.313334,0.22229835,2
3810,9,1.975,Acceleration,27.604036,0.19592817,9
3810,13,0.129,Brake,40.517387,0.20176062,13
3810,14,1.975,Brake,20.50977,0.31523722,5
3810,14,1.976,Brake,21.50252,0.3443676,5
3810,23,2.145,Brake,28.525928,0.373913,14
3810,25,1.976,Brake,18.071327,0.50956035,9
3810,25,1.937,Brake,19.753334,0.4527094,6
3810,25,1.937,Brake,7.34,0.90788734,7
3810,25,2.022,Brake,3.4399998,0.32223037,7
3810,26,2.433,Acceleration,16.333334,0.25628862,18
3810,30,2.226,Acceleration,17.586784,0.25001526,18
